cluster	sequencesNb	sizeOfSmallestSeq	sizeOfLargestSeq	averageSize	medSize
384	1	1879	1879	1879	1879
385	1	1874	1874	1874	1874
386	1	1871	1871	1871	1871
387	1	1862	1862	1862	1862
388	1	1862	1862	1862	1862
389	1	1855	1855	1855	1855
390	1	1852	1852	1852	1852
391	1	1851	1851	1851	1851
392	1	1851	1851	1851	1851
393	1	1849	1849	1849	1849
394	1	1848	1848	1848	1848
395	1	1844	1844	1844	1844
396	1	1839	1839	1839	1839
397	1	1804	1804	1804	1804
398	1	1792	1792	1792	1792
399	1	1792	1792	1792	1792
400	1	1786	1786	1786	1786
401	1	1786	1786	1786	1786
402	1	1746	1746	1746	1746
403	1	1734	1734	1734	1734
404	1	1718	1718	1718	1718
405	1	1712	1712	1712	1712
406	1	1711	1711	1711	1711
407	1	1710	1710	1710	1710
408	1	1696	1696	1696	1696
409	1	1683	1683	1683	1683
410	1	1675	1675	1675	1675
411	1	1673	1673	1673	1673
412	1	1672	1672	1672	1672
413	1	1666	1666	1666	1666
414	1	1665	1665	1665	1665
415	1	1626	1626	1626	1626
416	1	1594	1594	1594	1594
417	1	1588	1588	1588	1588
418	1	1584	1584	1584	1584
419	1	1555	1555	1555	1555
420	1	1540	1540	1540	1540
421	1	1537	1537	1537	1537
422	1	1513	1513	1513	1513
423	1	1512	1512	1512	1512
424	1	1482	1482	1482	1482
425	1	1419	1419	1419	1419
426	1	1407	1407	1407	1407
427	1	1355	1355	1355	1355
428	1	1311	1311	1311	1311
429	1	1296	1296	1296	1296
430	1	1293	1293	1293	1293
431	1	1241	1241	1241	1241
432	1	1237	1237	1237	1237
433	1	1212	1212	1212	1212
434	1	1181	1181	1181	1181
435	1	1174	1174	1174	1174
436	1	1170	1170	1170	1170
437	1	1130	1130	1130	1130
438	1	1119	1119	1119	1119
439	1	1098	1098	1098	1098
440	1	1090	1090	1090	1090
441	1	1063	1063	1063	1063
442	1	1053	1053	1053	1053
443	1	1037	1037	1037	1037
444	1	1014	1014	1014	1014
445	1	1010	1010	1010	1010
446	1	988	988	988	988
447	1	977	977	977	977
448	1	957	957	957	957
449	1	938	938	938	938
450	1	919	919	919	919
451	1	814	814	814	814
452	1	810	810	810	810
453	1	789	789	789	789
454	1	771	771	771	771
455	1	756	756	756	756
456	1	683	683	683	683
457	1	552	552	552	552
458	1	539	539	539	539
459	1	533	533	533	533
460	1	526	526	526	526
461	1	503	503	503	503
462	1	501	501	501	501
463	1	493	493	493	493
464	1	431	431	431	431
465	1	429	429	429	429
466	1	421	421	421	421
467	1	410	410	410	410
468	1	403	403	403	403
469	1	385	385	385	385
470	1	375	375	375	375
471	1	312	312	312	312
472	1	294	294	294	294
473	1	294	294	294	294
474	1	262	262	262	262
475	1	241	241	241	241
476	1	217	217	217	217
477	1	177	177	177	177
478	1	167	167	167	167
479	1	164	164	164	164
480	1	161	161	161	161
481	1	161	161	161	161
482	1	161	161	161	161
483	1	160	160	160	160
484	1	149	149	149	149
485	1	131	131	131	131
486	1	129	129	129	129
487	1	128	128	128	128
488	1	128	128	128	128
489	1	113	113	113	113
